Designator,Footprint,Quantity,Value,LCSC Part #
1K1,0402,1,R,
"C1, C2, C3, C4",0805,4,47uF,
"C10, C9",0402,2,100nF,
"C11, C12",0805,2,10uF,
"C5, C6",0402,2,0.1uF,
"C7, C8",0402,2,12pF,
"D2, D3, D4",0402,3,LED,
"D5, D6",D_SOD-323,2,D_Schottky,
"D7, D8",D_SOD-923,2,D_TVS_Small,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BATTERYJST,
"J3, J4",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
"R1, R2",0402,2,5.1k,
R11,0402,1,1.2k,
"R12, R14",0402,2,1k,
R3,0805,1,R,
R4,0402,1,10M,
R5,0402,1,100k,
"R6, R7, R8, R9",0402,4,10k,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U3,SOT-23-5,1,AP2112K-3.3,
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,Crystal,
